,key,Date_Created,Title,Artist,Invite_Spawner,URL
95,866011258_2619792022,2018-11-24,Legend of Mermaid Group,Mermaid Melody,OchaLady,https://www.smule.com/recording/mermaid-melody-legend-of-mermaid-group/866011258_2619792022
96,866011258_2552979792,2018-10-17,Legend of Mermaid,,OchaLady,https://www.smule.com/recording/legend-of-mermaid/866011258_2552979792
97,866011258_2510790848,2018-09-27,Yami no Baroque,,OchaLady,https://www.smule.com/recording/yami-no-baroque/866011258_2510790848
98,866011258_2487237597,2018-09-17,無色,上原あずみ,OchaLady,https://www.smule.com/recording/%E4%B8%8A%E5%8E%9F%E3%81%82%E3%81%9A%E3%81%BF-%E7%84%A1%E8%89%B2/866011258_2487237597
99,866011258_2434862876,2018-08-24,Growing of my heart,倉木麻衣,OchaLady,https://www.smule.com/recording/%E5%80%89%E6%9C%A8%E9%BA%BB%E8%A1%A3-growing-of-my-heart/866011258_2434862876
100,866011258_2413671216,2018-08-13,Nanatsu no Umi no Monogatari,"Lucia Nanami, Hoshou Hanon, Touin Rina",OchaLady,https://www.smule.com/recording/lucia-nanami-hoshou-hanon-touin-rina-nanatsu-no-umi-no-monogatari/866011258_2413671216
101,866011258_2413650973,2018-08-13,Happy Synthesizer,Gumi & Luka,OchaLady,https://www.smule.com/recording/gumi-luka-happy-synthesizer/866011258_2413650973
102,866011258_2388123964,2018-08-02,Secret of my heart - 倉木麻衣,倉木麻衣,OchaLady,https://www.smule.com/recording/%E5%80%89%E6%9C%A8%E9%BA%BB%E8%A1%A3-secret-of-my-heart-%E5%80%89%E6%9C%A8%E9%BA%BB%E8%A1%A3/866011258_2388123964
103,866011258_2388105611,2018-08-02,Antoinette Blue (TV Size),Nana Kitade,OchaLady,https://www.smule.com/recording/nana-kitade-antoinette-blue-tv-size/866011258_2388105611
104,866011258_2388090645,2018-08-02,Lemon Short. Acoustic,Kenshi Yonezu,OchaLady,https://www.smule.com/recording/kenshi-yonezu-lemon-short-acoustic/866011258_2388090645
105,866011258_2373195105,2018-07-26,Nazo,Detective Conan,OchaLady,https://www.smule.com/recording/detective-conan-nazo/866011258_2373195105
106,866011258_2371044434,2018-07-25,Zoetrope,Nagi Yanagi,OchaLady,https://www.smule.com/recording/nagi-yanagi-zoetrope/866011258_2371044434
107,866011258_2357941727,2018-07-19,Freely Tomorrow (Musicbox) Short,Mitchie M. Ft. Hatsune Miku,OchaLady,https://www.smule.com/recording/mitchie-m-ft-hatsune-miku-freely-tomorrow-musicbox-short/866011258_2357941727
108,866011258_2315457198,2018-06-29,Lacrimosa - kuroshitsuji,Kalafina,OchaLady,https://www.smule.com/recording/kalafina-lacrimosa-kuroshitsuji/866011258_2315457198
109,866011258_2302674816,2018-06-23,Super Love Songs!,Mermaid Melody: Pichi Pichi Pitch,OchaLady,https://www.smule.com/recording/mermaid-melody-pichi-pichi-pitch-super-love-songs/866011258_2302674816
110,866011258_2300233718,2018-06-22,Cantarella 【Piano】,Vocaloid,OchaLady,https://www.smule.com/recording/vocaloid-cantarella-piano/866011258_2300233718
111,866011258_2294146529,2018-06-19,Sword Art online - Courage,tomatsu haruka,OchaLady,https://www.smule.com/recording/tomatsu-haruka-sword-art-online-courage/866011258_2294146529
112,866011258_2280991221,2018-06-12,Ever Blue [Music Box] Japanese,Pichi Pichi Picht,OchaLady,https://www.smule.com/recording/pichi-pichi-picht-ever-blue-music-box-japanese/866011258_2280991221
113,866011258_2266229646,2018-06-05,Before The Moment (Karaoke),Eri Kitamura,OchaLady,https://www.smule.com/recording/eri-kitamura-before-the-moment-karaoke/866011258_2266229646
114,866011258_2255103268,2018-05-31,Karaoke - Return to the Sea (Special v2),Alessandro193a,OchaLady,https://www.smule.com/recording/alessandro193a-karaoke-return-to-the-sea-special-v2/866011258_2255103268
115,866011258_2243296762,2018-05-26,Koori no ue ni tatsu you ni (Detective Conan),Miho Komatsu,OchaLady,https://www.smule.com/recording/miho-komatsu-koori-no-ue-ni-tatsu-you-ni-detective-conan/866011258_2243296762
116,866011258_2239021876,2018-05-24,Sarishinohara (Romanji acoustic),MikitoP,OchaLady,https://www.smule.com/recording/mikitop-sarishinohara-romanji-acoustic/866011258_2239021876
117,866011258_2237072090,2018-05-23,KODOU ~ Perfect Harmony ~,Mermaid Melody,OchaLady,https://www.smule.com/recording/mermaid-melody-kodou-perfect-harmony/866011258_2237072090
118,866011258_2229345520,2018-05-19,Kimi ga inai natsu,Deen,OchaLady,https://www.smule.com/recording/deen-kimi-ga-inai-natsu/866011258_2229345520
119,866011258_2219526819,2018-05-15,Regret,Hoshimura Mai,OchaLady,https://www.smule.com/recording/hoshimura-mai-regret/866011258_2219526819
120,866011258_2215018917,2018-05-13,Beautiful Wish,Mermaid Melody,OchaLady,https://www.smule.com/recording/mermaid-melody-beautiful-wish/866011258_2215018917
121,866011258_2210594351,2018-05-11,Natsu No Maboroshi (Detective Conan OST),Garnet Crow,OchaLady,https://www.smule.com/recording/garnet-crow-natsu-no-maboroshi-detective-conan-ost/866011258_2210594351
122,866011258_2191860108,2018-05-03,PHANTOM MINDS,水樹奈々,OchaLady,https://www.smule.com/recording/%E6%B0%B4%E6%A8%B9%E5%A5%88%E3%80%85-phantom-minds/866011258_2191860108
