,Date_Created,Title,Artist,URL
97,10/25/2017,Taiyou no Rakuen [TV-Size],Kanabe Miyuki,https://www.smule.com//recording/kanabe-miyuki-taiyou-no-rakuen-tv-size/866011258_1724674589
98,10/23/2017,Every Heart,Boa,https://www.smule.com//recording/boa-every-heart/866011258_1720132996
99,10/16/2017,I SAY YES (TV Size),ICHIKO / Zero no Tsukaima F (Season 2) OP,https://www.smule.com//recording/ichiko-zero-no-tsukaima-f-season-2-op-i-say-yes-tv-size/866011258_1700842831
100,10/16/2017,Ama no Jaku,164,https://www.smule.com//recording/164-ama-no-jaku/866011258_1700834410
101,10/16/2017,Sekai de Ichiban Hayaku Asaga Kuru Basho,Mermaid Melody,https://www.smule.com//recording/mermaid-melody-sekai-de-ichiban-hayaku-asaga-kuru-basho/866011258_1700814725
102,10/16/2017,光と影のロマン,宇徳敬子,https://www.smule.com//recording/%E5%AE%87%E5%BE%B3%E6%95%AC%E5%AD%90-%E5%85%89%E3%81%A8%E5%BD%B1%E3%81%AE%E3%83%AD%E3%83%9E%E3%83%B3/866011258_1700799316
103,10/11/2017,SAO OP ﾒﾄﾞﾚｰ(Medley),①crossing field②INNOCENCE ③courage ④IGNITE　　　　　sword art online 2 op 1,https://www.smule.com//recording/crossing-field-innocence-courage-ignite-sword-art-online-2-op-1-sao-op-%EF%BE%92%EF%BE%84%EF%BE%9E%EF%BE%9A%EF%BD%B0-medley/866011258_1687805576
104,10/9/2017,Ever Blue,Hanon,https://www.smule.com//recording/hanon-ever-blue/866011258_1682106989
105,10/9/2017,深愛,水樹奈々,https://www.smule.com//recording/%E6%B0%B4%E6%A8%B9%E5%A5%88%E3%80%85-%E6%B7%B1%E6%84%9B/866011258_1682082620
106,10/2/2017,Daiji Na Takarabako,Mermaid Melody: Pichi Pichi Pitch,https://www.smule.com//recording/mermaid-melody-pichi-pichi-pitch-daiji-na-takarabako/866011258_1664129322
107,10/1/2017,Legend of the Mermaid (Slow Ver.),Mermaid Melody,https://www.smule.com//recording/mermaid-melody-legend-of-the-mermaid-slow-ver/866011258_1661709237
108,9/27/2017,from Y to Y [Short ver.],JimmyThumb-P,https://www.smule.com//recording/jimmythumb-p-from-y-to-y-short-ver/866011258_1652998583
109,9/19/2017,SAO- Courage,SAO,https://www.smule.com//recording/sao-sao-courage/866011258_1629649385
110,9/7/2017,Pray (MS Lyrical Nanoha StrikerS),Mizuki Nana,https://www.smule.com//recording/mizuki-nana-pray-ms-lyrical-nanoha-strikers/866011258_1597461016
111,8/30/2017,Utsukushiki Zankoku na Sekai (TV Size),Yoko Hikasa,https://www.smule.com//recording/yoko-hikasa-utsukushiki-zankoku-na-sekai-tv-size/866011258_1576983830
112,8/17/2017,Kanashimi wo Yasashisa ni TV size,Little by Little,https://www.smule.com//recording/little-by-little-kanashimi-wo-yasashisa-ni-tv-size/866011258_1540801831
113,8/17/2017,MASSIVE WONDERS (MS Lyrical Nanoha StrikerS),Mizuki Nana,https://www.smule.com//recording/mizuki-nana-massive-wonders-ms-lyrical-nanoha-strikers/866011258_1540754312
114,7/22/2017,Sarishinohara (Romanji acoustic),MikitoP,https://www.smule.com//recording/mikitop-sarishinohara-romanji-acoustic/866011258_1470819406
115,6/26/2017,Magnet,,https://www.smule.com//recording/magnet/866011258_1399634476
116,6/16/2017,Innocent Starter,Mizuki Nana,https://www.smule.com//recording/mizuki-nana-innocent-starter/866011258_1375936632
117,3/29/2017,Innocence - Eir Aoi,Eir Aoi,https://www.smule.com//recording/eir-aoi-innocence-eir-aoi/866011258_1150813974
118,3/16/2017,ロミオとシンデレラ/doriko/ボカロ,初音ミク,https://www.smule.com//recording/%E5%88%9D%E9%9F%B3%E3%83%9F%E3%82%AF-%E3%83%AD%E3%83%9F%E3%82%AA%E3%81%A8%E3%82%B7%E3%83%B3%E3%83%87%E3%83%AC%E3%83%A9-doriko-%E3%83%9C%E3%82%AB%E3%83%AD/866011258_1112041612
119,3/9/2017,Dearest | 犬夜叉,Ayumi Hamasaki,https://www.smule.com//recording/ayumi-hamasaki-dearest-%E7%8A%AC%E5%A4%9C%E5%8F%89/866011258_1089420601
120,3/5/2017,Level 5 Judgelight,fripside,https://www.smule.com//recording/fripside-level-5-judgelight/866011258_1077803659
121,2/27/2017,SECRET AMBITION [Romaji],Nana Mizuki,https://www.smule.com//recording/nana-mizuki-secret-ambition-romaji/866011258_1062751149
122,2/19/2017,Eternal  Blaze - Nana Mizuki,nana mizuki,https://www.smule.com//recording/nana-mizuki-eternal-blaze-nana-mizuki/866011258_1039961457
123,2/9/2017,Photograph (Acoustic),Ed Sheeran,https://www.smule.com//recording/ed-sheeran-photograph-acoustic/866011258_1010192006
124,2/5/2017,Anata ga Koko ni Iru Riyuu - Rie Fu,,https://www.smule.com//recording/anata-ga-koko-ni-iru-riyuu-rie-fu/866011258_998936196
125,2/1/2017,Sword Art Online - Crossing Field,Lisa,https://www.smule.com//recording/lisa-sword-art-online-crossing-field/866011258_988543101
126,1/26/2017,WAVE,niki,https://www.smule.com//recording/niki-wave/866011258_972287515
127,1/23/2017,夢の続きへ/SURFACE,SURFACE,https://www.smule.com//recording/surface-%E5%A4%A2%E3%81%AE%E7%B6%9A%E3%81%8D%E3%81%B8-surface/866011258_964309189
128,1/16/2017,PHANTOM MINDS,Mizuki Nana,https://www.smule.com//recording/mizuki-nana-phantom-minds/866011258_944253352
129,1/7/2017,Regret,Hoshimura Mai,https://www.smule.com//recording/hoshimura-mai-regret/866011258_916987642
